v0.51 and above:
   Extract to a ./gfx/tracks/ dir

Old versions:
   Extract to a ./gfx/ dir

------------------------------------------------------------------
Track                  Author          UID
+ Ceremony +           DarcKz          1ssLQxfJ7k_qof9sl9bkPzWKDtm
-32-ArtfulDriver       -32-            OuMOStMRsRhb3WNhIt_12h2Cxu8
-32-NoticeToAppear     -32-            B6AFYyqERmbnhTcAJ3nY8caaN18
-32-SundayRoast        -32-            9cydi4KQmb948Xdt7Y1SYvDQfU8
-32-ViviD              -32-            4_Rk4EuW16ujx1VcklEOJdbAns9
-Full-Speed-           ORA             pqa5xjLPLsRtXsw3Qalf5FCaCC7
00Broken Brakes        Piepie_Vioc     MgeVmjotuMLnprs9Z1RR92OpIWg
00Rock'n de V1.1       bkb98           V4aNz9LELjWrkUQ3WU7Vn6ulpWi
01/2006                GRAR77          mVMLlbWuKz48uYc2jMRyl6d72a7
0xµgeN                 DerFeineHerr    qslZSaKi3f0uLcYkXN_rb70PEOc
st Nation              Scorpius        z28GJqr7zFpN8IjS0c3mlM0F5zf
=NaTionS SpeeD=        GerManY         hdyptIHU9Tc9OG6UB2iwJVna5Cb
=Technical=            demon_fire      XpJsb3zi5M8XAWePleg9_TP8smd
=Technical=2           demon_fire      Nlp1exwaUSXzez2t8caoCMw4xr8
A.R.O                  RacerSpooKy     YUNiHet9pKmjIKlmJIjid_oBaph
Addictive Round!       Terrorpilot     yCckwBNIT0JwHLsbn2OrliPx8Z1
Aerial Combat          Xisdown         ppdWo1NhfOEpOOA5q9nnlZjEzne
BBQ Sauce              scottmc         3vNQDSq_1YpK3NC9NyqciSi0tx0
BULDOS                 Skotinka        uUrMA630qdnl1lVvkh2F4tLb5_7
BendD                  Raxor           ZrIkB4wWDvDd83nz0niow7V2Dy7
Black  and  white      Wrner           fh5S4lkznhXSa160OYfR5VO_Gzb
Black and white 2      wurnur          ECYI49Z9IJagwaDdo2bf7Uz3ar1
Black burn             wurnur          5c9itsrUw6K13MgEaG82nfa7Shm
BlackandWhite          Sub             F6qkm7NjS3d6RD_kLx9gUb0Qwk5
BucKOloo               KO_Starbuck     ih_be5NwSytqZp91X5Wl5CL4Tme
Controlled Fury        stickylou       k9EQQBte0T6JQCpQliuVtJhlVi8
